id,name,party,sector,country,episode
cl,Christian Lindner,fdp,politics,ger,501
nr,Norbert Röttgen,cdu,politics,ger,"501, 500"
ks,Karl Schlögel,NA,history,ger,501
lm,Ljudmyla Melnyk,NA,science,ger,501
kd,Kristina Dunz,NA,journalism,ger,501
el,Egils Levits ,NA,politics,latvia,501
uvl,Ursula von der Leyen,cdu,politics,ger,500
lk,Lars Klingbeil,spd,politics,ger,"500, 503"
sw,Sahra Wagenknecht,linke,politics,ger,500
cs,Constanze Stelzenmüller,NA,law,usa,500
ab,Annalena Baerbock,gruene,politics,ger,502
ft,Frans Timmermans,NA,politics,belgium,502
am,Andrij Melnyk,NA,politics,ger ,502
agl,Alexander Graf Lambsdorff ,fdp,politics,ger,502
er,Egon Ramms,NA,military,ger,502
rh,Robert Habeck,gruene,politics,ger,503
cm,Claudia Major,NA,science,ger,503
kp,Katja Petrowskaja,NA,literature,ger,503
rk,Roderich Kiesewetter,cdu,politics,ger,503
500,Folge 500,NA,NA,NA,NA
501,Folge 501,NA,NA,NA,NA
502,Folge 502,NA,NA,NA,NA
503,Folge 503,NA,NA,NA,NA
cdu,cdu,NA,NA,NA,NA
spd,spd,NA,NA,NA,NA
gruene,gruene,NA,NA,NA,NA
fdp,fdp,NA,NA,NA,NA
linke,linke,NA,NA,NA,NA
